,item_name,main_category,sub_category,receipt_id,date,item_code,quantity,payment_type,unit_buying_price,unit_selling_price,unit_price_margin,category,total_buying_price,total_selling price,total_margin,year,quarter,month,day_of_week,hour_of_day,quantity_type,investment,revenue,profit
13,Almond cresent 250g,Snacks,Dry fruits and nuts,104,104,1,118.0,2,4.53636363599999,1,1.0363636360000013,1,3,3,3,2,4,12,7,17,2,413.0,535.290909047999,122.29090904800013
14,Almonds natural 500g,Snacks,Dry fruits and nuts,144,144,1,148.0,2,9.990000000000007,1,2.2400000000000047,1,2,2,2,2,4,12,7,20,2,1147.0,1478.5200000000011,331.5200000000007
15,Almonds roasted 375g,Snacks,Dry fruits and nuts,77,77,1,77.0,2,9.081818182000005,1,1.081818182000001,1,1,1,1,2,4,12,7,18,1,616.0,699.3000000140004,83.30000001400008
16,Amami papadam,Pantry staples,Grains and pulses,26,26,1,34.0,2,1.9900000000000007,1,0.84,1,2,2,2,2,4,10,7,9,2,39.09999999999998,67.66000000000001,28.56
17,Ambarella,Fresh produce,Asian vegies,26,26,1,11.924,2,4.989999999999998,1,0.9899999999999995,1,24,24,24,2,3,3,7,11,1,47.696,59.50076,11.804759999999998
18,Ambarella chutney dera,Pantry staples,Pickle,13,13,1,13.0,2,4.990000000000001,1,1.59,1,1,1,1,2,4,6,6,9,1,44.19999999999999,64.87000000000002,20.67
19,Amber jewl plum,Fresh produce,Stonefruits,69,69,1,30.406000000000002,2,1.9899999999999984,1,1.9899999999999984,1,1,61,61,2,1,3,7,20,2,0.0,60.50794,60.50794
20,Amberella curry,Pantry staples,Sauce,22,22,1,29.0,2,5.489999999999998,1,1.5399999999999994,1,2,2,2,2,4,11,7,11,2,114.55000000000003,159.21000000000004,44.65999999999999
21,Ambulthiyal mix la,Snacks,Packaged snacks,3,3,1,3.0,2,3.99,1,0.89,1,1,1,1,1,2,3,3,3,1,9.3,11.97,2.67
22,Annapura atta 1kg,Fresh produce,Root vegies,8,8,1,8.0,2,3.990000000000001,1,1.49,1,1,1,1,1,3,6,4,5,1,20.0,31.92000000000001,11.92
23,Apple granny smith 1kg bag,Fresh produce,Apples,3,3,1,4.0,2,2.69,1,-0.31,1,2,2,2,1,1,1,2,1,2,12.0,10.76,-1.24
24,Apple granny smith 2kg bags,Fresh produce,Apples,164,164,1,169.0,2,4.5,1,1.5,1,3,3,3,2,4,12,7,24,2,507.0,760.5,253.5
25,Apple jazz,Fresh produce,Apples,500,500,1,415.81800000000027,2,5.989999999999935,1,3.990000000000008,1,350,350,350,2,4,12,7,13,2,831.6360000000005,2490.749820000003,1659.1138199999994
26,Apple jonathan,Fresh produce,Apples,190,190,1,155.7840000000001,2,3.0,1,1.0,1,171,171,171,2,1,3,7,12,2,311.5680000000002,467.35199999999975,155.7840000000001
27,Apple pink lady 1kg punnet,Fresh produce,Apples,14,14,1,14.0,2,3.9900000000000015,1,0.49000000000000016,1,1,1,1,2,3,4,5,10,1,49.0,55.86000000000002,6.860000000000002
28,Apple pink lady 2kg,Fresh produce,Apples,537,537,1,559.0,2,5.0,1,2.0,1,5,5,5,2,4,12,7,24,2,1677.0,2795.0,1118.0
29,Apple rings 500g,Snacks,Dry fruits and nuts,8,8,1,8.0,2,7.0,1,1.75,1,1,1,1,1,3,6,6,5,1,42.0,56.0,14.0
30,Apples fuji,Fresh produce,Apples,2137,2137,1,2030.7699999999975,2,3.9899999999998355,1,3.9899999999998355,1,1,832,832,2,4,12,7,24,2,0.0,8102.772299999986,8102.772299999986
31,Apples golden delicious,Fresh produce,Apples,688,688,1,488.2620000000002,2,3.9899999999999496,1,3.9899999999999496,1,1,418,418,2,4,12,7,13,2,0.0,1948.1653799999985,1948.1653799999985
32,Apples granny smith,Fresh produce,Apples,2670,2670,1,2447.337999999997,2,3.0,1,3.0,1,1,897,897,2,4,12,7,24,2,0.0,7342.014,7342.014
33,Apples pink lady,Fresh produce,Apples,4587,4587,1,4273.473999999995,2,2.989999999999815,1,2.989999999999815,1,1,1009,1009,2,4,12,7,24,2,0.0,12777.68726000001,12777.68726000001
34,Apples red delicious,Fresh produce,Apples,900,900,1,789.3640000000009,2,3.0,1,3.0,1,1,546,546,2,4,12,7,24,2,0.0,2368.092000000001,2368.092000000001
35,Apples royal gala,Fresh produce,Apples,2703,2703,1,2476.8790000000035,2,3.0,1,3.0,1,1,847,847,2,4,12,7,24,2,0.0,7430.63699999998,7430.63699999998
36,Apricot dried 500g,Snacks,Dry fruits and nuts,95,95,1,98.0,2,6.990000000000006,1,1.4899999999999989,1,2,2,2,2,4,12,7,17,2,539.0,685.0200000000007,146.01999999999995
37,Apricots,Fresh produce,Stonefruits,1487,1487,1,782.5389999999999,2,3.9899999999998594,1,3.9899999999998594,1,1,504,504,2,2,5,7,24,2,0.0,3122.330610000004,3122.330610000004
38,Artichoke,Fresh produce,Other vegies,248,248,1,648.0,2,1.8000000000000074,1,0.2999999999999986,1,9,9,9,2,3,9,7,12,3,972.0,1166.3999999999999,194.39999999999958
39,Artichoke 2 for 3,Fresh produce,Deals,21,21,1,30.0,2,3.0,1,-0.5999999999999999,1,3,3,3,2,1,3,7,9,2,107.99999999999999,90.0,-18.0
40,Artichoke purple,Fresh produce,Other vegies,97,97,1,306.0,2,2.0,1,0.0,1,10,10,1,2,3,6,7,11,3,612.0,612.0,0.0
41,Asparagus 2 for $3,Fresh produce,Deals,81,81,1,85.0,2,3.0,1,2.0,1,2,2,2,2,2,2,7,11,2,85.0,255.0,170.0
42,Asparagus loose,Fresh produce,Other vegies,1,1,1,4.246,1,3.99,1,3.99,1,1,1,1,1,1,1,1,1,1,0.0,16.941540000000003,16.941540000000003
43,Atta 1kg pattu,Pantry staples,Flour,15,15,1,16.0,2,2.990000000000001,1,1.2399999999999998,1,1,1,1,2,4,8,6,10,1,28.0,47.84000000000002,19.839999999999996
44,Atta 5kg dia,Pantry staples,Flour,10,10,1,10.0,2,7.99,1,2.0399999999999996,1,1,1,1,2,4,7,6,4,1,59.500000000000014,79.9,20.399999999999995
45,Atta chakki fresh,Pantry staples,Flour,10,10,1,11.0,2,2.5,1,0.6500000000000001,1,2,2,2,1,2,5,6,8,2,20.349999999999998,27.5,7.15
46,Attiki honey 500g,Pantry staples,Condiments,19,19,1,24.0,2,15.0,1,3.0,1,2,2,2,1,3,8,6,10,2,288.0,360.0,72.0
47,Aussie cucumber,Fresh produce,Cucumbers,78,78,1,38.331999999999994,2,3.9900000000000047,1,3.9900000000000047,1,1,71,71,2,3,6,7,21,2,0.0,152.94468000000003,152.94468000000003
48,Australian asparagus green,Fresh produce,Bunch vegies,843,843,1,1033.3220000000001,2,2.7000000000000104,1,0.6999999999999992,1,173,173,173,2,4,12,7,14,3,2066.6440000000002,2789.9694000000077,723.3253999999991
49,Autum giant plum,Fresh produce,Stonefruits,27,27,1,13.920000000000003,2,2.799999999999999,1,2.799999999999999,1,1,27,27,2,2,3,7,10,2,0.0,38.976,38.976
50,Avana manadarin,Fresh produce,Citrus fruits,82,82,1,91.23000000000002,2,2.5,1,2.5,1,1,75,75,1,1,1,7,11,2,0.0,228.07500000000002,228.07500000000002
51,Avocado 2 for $,Fresh produce,Deals,336,336,1,364.0,2,2.0,1,0.75,1,3,3,3,2,3,7,7,23,2,455.0,728.0,273.0
52,Avocado hass large,Fresh produce,Avocadoes,1616,1616,1,2249.0,2,2.5,1,1.0,1,8,8,8,2,4,11,7,24,3,3373.5,5622.5,2249.0
53,Avocado hass medium,Fresh produce,Avocadoes,801,801,1,1105.0,2,1.990000000000008,1,-1.0099999999999927,1,6,6,6,2,4,11,7,13,2,3315.0,2198.9500000000057,-1116.0499999999918
54,Avocado shepard,Fresh produce,Avocadoes,659,659,1,989.0,2,2.0,1,2.0,1,1,10,10,2,3,7,7,23,3,0.0,1978.0,1978.0
55,Avocado small hass,Fresh produce,Avocadoes,462,462,1,659.3879999999999,2,2.5,1,2.0,1,37,37,37,2,4,12,7,24,3,329.69399999999996,1648.4700000000003,1318.7759999999998
56,Baby beetroot 250g,Fresh produce,Root vegies,370,370,1,392.0,2,2.9900000000000078,1,2.9900000000000078,1,1,2,2,2,4,12,7,23,2,0.0,1172.080000000003,1172.080000000003
57,Baby corn,Fresh produce,Other vegies,164,164,1,233.0,2,2.9900000000000064,1,2.9900000000000064,1,1,4,4,2,4,12,7,14,2,0.0,696.6700000000014,696.6700000000014
58,Baby cos 2pac,Fresh produce,Lettuces,1073,1073,1,1254.384,2,2.900000000000056,1,0.8999999999999844,1,7,7,7,2,4,12,7,24,2,2508.768,3637.713600000055,1128.945599999995
59,Baking powder 50g,Pantry staples,Baking,2,2,1,2.0,1,1.99,1,0.79,1,1,1,1,1,2,2,2,2,1,2.4,3.98,1.58
60,Balsamic vinegar 500ml,Pantry staples,Vinegar,7,7,1,7.0,2,3.990000000000001,1,0.9900000000000001,1,1,1,1,2,3,6,4,7,1,21.0,27.930000000000007,6.930000000000001
61,Banana cavendish,Fresh produce,Bananas,24572,24572,1,24348.693000000116,2,1.9899999999997808,1,-0.009999999999996742,1,1494,1494,1494,2,4,12,7,24,2,48697.38600000023,48453.89906999981,-243.48693000000011
62,Banana chips280g,Snacks,Packaged snacks,20,20,1,21.0,2,4.989999999999999,1,2.64,1,2,2,2,2,4,9,7,12,2,49.350000000000016,104.78999999999999,55.440000000000005
63,Banana monkey,Fresh produce,Bananas,50,50,1,18.562000000000005,2,7.9900000000000055,1,7.9900000000000055,1,1,45,45,2,4,6,7,11,2,0.0,148.31038,148.31038
64,Bananas ladyfinger,Fresh produce,Bananas,83,83,1,43.75,2,4.800000000000007,1,0.30000000000000043,1,71,71,71,2,2,4,7,12,2,196.87499999999997,210.0,13.125
65,Barley rusk,Breads & bakery,Toast,51,51,1,63.0,2,7.0,1,1.5,1,3,3,3,2,4,12,7,16,2,346.5,441.0,94.5
66,Barley rusk samaria,Breads & bakery,Toast,30,30,1,31.0,2,7.0,1,2.0,1,2,2,2,2,4,11,7,14,2,155.0,217.0,62.0
67,Barlotti beans 500g,Pantry staples,Grains and pulses,100,100,1,137.0,2,3.5,1,1.299999999999999,1,4,4,4,2,4,12,7,18,2,301.3999999999996,479.5,178.10000000000016
68,Basil italian,Fresh produce,Herbs,417,417,1,437.0,2,4.0,1,4.0,1,1,4,4,2,4,12,7,23,2,0.0,1748.0,1748.0
69,Basil seed 100g(casa casa),Pantry staples,Spices,15,15,1,16.0,2,3.9900000000000015,1,0.9900000000000001,1,1,1,1,2,4,9,7,9,1,48.0,63.840000000000025,15.840000000000002
70,Basil seed lychi 290ml,Beverages,Mix,6,6,1,9.0,2,1.6899999999999997,1,0.79,1,2,2,2,1,3,4,4,5,2,8.100000000000001,15.209999999999997,7.11
71,Basil seed mango juice290ml,Beverages,Mix,10,10,1,12.0,2,1.69,1,0.7900000000000001,1,2,2,2,1,3,6,4,8,2,10.800000000000002,20.28,9.48
72,Basil seed mango sharbath 290ml,Beverages,Mix,56,56,1,88.0,2,1.8181818179999996,1,0.8181818179999995,1,5,5,5,2,4,12,7,21,2,88.0,159.99999998399997,71.99999998399996
73,Basil seed rose sharbath,Beverages,Mix,135,135,1,213.0,2,1.8181818180000013,1,0.8181818179999995,1,7,7,7,2,4,12,7,18,3,213.0,387.27272723400125,174.2727272339999
74,Basil seed with pomegranate 290ml,Beverages,Mix,91,91,1,128.0,2,1.6272727269999994,1,0.6272727269999991,1,4,4,4,2,4,12,7,22,2,128.0,208.29090905599995,80.29090905599998
75,Basil thai,Fresh produce,Herbs,70,70,1,75.0,2,3.0,1,3.0,1,1,2,2,2,4,12,7,16,2,0.0,225.0,225.0
76,Basmathi 1kg monsoon,Pantry staples,Rice,18,18,1,19.0,2,2.990000000000001,1,1.2399999999999995,1,1,1,1,2,4,8,7,8,1,33.25,56.810000000000024,23.55999999999999
77,Basmathi rice golden sella 1kg,Pantry staples,Rice,14,14,1,18.0,2,3.9900000000000015,1,1.09,1,3,3,3,2,2,5,6,10,2,52.19999999999999,71.82000000000001,19.62
78,Bbq fride rice cracker,Snacks,Packaged snacks,60,60,1,61.0,2,4.536363636000001,1,1.7363636359999972,1,1,1,1,2,4,12,7,17,1,170.8000000000001,276.71818179600007,105.91818179599983
79,Bean sprouts,Fresh produce,Asian vegies,578,578,1,611.0,2,2.0,1,0.75,1,5,5,5,2,4,12,7,15,2,763.75,1222.0,458.25
80,Beans broad,Fresh produce,Other vegies,79,79,1,71.81799999999996,2,5.990000000000006,1,5.990000000000006,1,1,78,78,2,2,3,7,11,3,0.0,430.1898200000001,430.1898200000001
81,Beans green,Fresh produce,Other vegies,4023,4023,1,1422.583000000001,3,4.990000000000143,1,4.990000000000143,1,1,519,519,2,4,12,7,24,2,0.0,7098.689169999993,7098.689169999993
82,Beans snake,Fresh produce,Veggies,439,439,1,172.86999999999998,2,8.989999999999899,1,4.989999999999993,1,250,250,250,2,4,11,7,19,2,691.4799999999999,1554.1012999999998,862.6212999999999
83,Beetroot,Fresh produce,Root vegies,1501,1501,1,843.9919999999995,2,2.989999999999885,1,2.989999999999885,1,1,536,536,2,4,12,7,24,2,0.0,2523.536079999998,2523.536079999998
84,Beetroot bunch,Fresh produce,Bunch vegies,665,665,1,675.0,2,3.9899999999999567,1,3.9899999999999567,1,1,2,2,2,4,12,7,24,2,0.0,2693.249999999972,2693.249999999972
85,Beetroot golden delicious,Fresh produce,Bunch vegies,5,5,1,5.0,1,4.99,1,4.99,1,1,1,1,2,1,2,5,5,1,0.0,24.950000000000003,24.950000000000003
86,Berries blackberry,Fresh produce,Berries,30,30,1,34.0,2,5.0,1,5.0,1,1,2,2,2,3,4,7,10,2,0.0,170.0,170.0
87,Berries blueberry,Fresh produce,Berries,473,473,1,612.0,2,3.5,1,3.5,1,1,4,4,2,3,8,7,22,2,0.0,2142.0,2142.0
88,Berries raspberry,Fresh produce,Berries,54,54,1,62.0,2,3.5,1,3.5,1,1,3,3,2,4,5,7,12,2,0.0,217.0,217.0
89,Berries strawberry (large),Fresh produce,Berries,1318,1318,1,1675.0,2,3.8000000000000944,1,0.47000000000001557,1,5,5,5,2,4,12,7,19,2,5577.749999999912,6365.000000000102,787.2500000000193
90,Berries strawberry (medium),Fresh produce,Berries,2723,2723,1,3444.0,2,2.5,1,2.5,1,1,8,8,2,4,12,7,24,3,0.0,8610.0,8610.0
91,Biriyani mix 50g,Pantry staples,Spices,4,4,1,5.0,2,2.5,1,2.5,1,1,1,1,1,1,2,2,4,1,0.0,12.5,12.5
92,Biryani masala 200g,Pantry staples,Spices,10,10,1,11.0,2,3.0,1,3.0,1,1,2,2,1,3,4,5,8,2,0.0,33.0,33.0
93,Biscota cocoa,Snacks,Biscuits,39,39,1,42.0,2,3.9900000000000007,1,0.9899999999999999,1,2,2,2,1,4,10,7,10,2,126.0,167.58000000000004,41.58
94,Bite mixture serandib 200g,Snacks,Packaged snacks,16,16,1,17.0,2,2.990000000000001,1,0.7400000000000001,1,1,1,1,2,4,8,7,8,1,38.25,50.83000000000002,12.580000000000002
95,Bitter melon,Fresh produce,Asian vegies,1064,1064,1,475.5109999999997,2,4.5,1,-0.5,1,375,375,375,2,4,12,7,24,2,2377.5549999999976,2139.799499999999,-237.75549999999984
96,Black beans 500g,Pantry staples,Pulses and grains,48,48,1,53.0,2,2.4899999999999984,1,0.6900000000000004,1,2,2,2,2,4,12,7,16,2,95.39999999999993,131.96999999999994,36.570000000000014
97,Black currents,Fresh produce,Grapes,24,24,1,7.114,2,4.989999999999998,1,4.989999999999998,1,1,23,23,1,1,1,7,8,1,0.0,35.49886,35.49886
98,Black pepper 150g dera,Pantry staples,Spices,14,14,1,14.0,2,5.5,1,1.1999999999999997,1,1,1,1,2,4,10,7,10,1,60.19999999999998,77.0,16.799999999999997
99,Black pepper 200g kandyan,Pantry staples,Spices,3,3,1,3.0,2,4.99,1,1.49,1,1,1,1,1,1,2,2,2,1,10.5,14.97,4.47
100,Black pepper crushed100g,Pantry staples,Spices,12,12,1,13.0,2,3.9900000000000015,1,1.6900000000000002,1,2,2,2,1,4,9,6,7,2,29.900000000000006,51.87000000000001,21.970000000000002
101,Black pepper powder100g pattu,Fresh produce,Deals,14,14,1,19.0,2,2.990000000000001,1,1.2899999999999996,1,3,3,3,2,2,2,5,8,2,32.29999999999999,56.81000000000002,24.509999999999998
102,Black pepper whole100g,Pantry staples,Spices,17,17,1,18.0,2,2.7181818179999997,1,1.618181818,1,1,1,1,2,4,8,7,9,1,19.8,48.927272724,29.127272724
103,Black plum,Fresh produce,Stonefruits,948,948,1,562.3540000000002,2,2.9899999999999447,1,2.9899999999999447,1,1,442,442,2,3,8,7,23,2,0.0,1681.4384599999973,1681.4384599999973
104,Black sesame seeds 500g,Pantry staples,Spices,7,7,1,7.0,2,5.29,1,1.2900000000000003,1,1,1,1,2,4,6,4,5,1,28.0,37.03,9.030000000000001
105,Black spanish queen olives,Fresh produce,Veggies,16,16,1,16.124,2,5.290000000000001,1,1.2899999999999996,1,16,16,16,1,2,4,7,11,2,64.496,85.29596000000001,20.79996
106,Black tea 100,Beverages,Tea,4,4,1,4.0,1,5.99,1,1.19,1,1,1,1,1,2,4,4,4,1,19.2,23.96,4.76
107,Blackeye beans 500g,Pantry staples,Spices,128,128,1,136.0,2,3.9900000000000064,1,1.7899999999999978,1,2,2,2,2,4,12,7,21,2,299.1999999999993,542.6400000000008,243.4399999999997
108,Blood plums,Fresh produce,Stonefruits,248,248,1,146.55400000000006,2,4.990000000000007,1,4.990000000000007,1,1,195,195,2,4,6,7,20,2,0.0,731.3044600000004,731.3044600000004
109,Bok choy,Fresh produce,Asian vegies,3,3,1,3.0,2,0.9899999999999999,1,0.9899999999999999,1,1,1,1,1,1,1,2,2,1,0.0,2.9699999999999998,2.9699999999999998
110,Bombay mix 300g,Snacks,Packaged snacks,15,15,1,17.0,2,3.9900000000000015,1,2.490000000000001,1,2,2,2,1,4,9,7,10,2,25.5,67.83000000000001,42.33000000000001
111,Borlotti beans,Fresh produce,Veggies,17,17,1,10.938,2,7.989999999999999,1,5.64,1,17,17,17,2,2,4,5,9,2,25.704300000000003,87.39462,61.690319999999986
112,Borlotti beans 400g,Pantry staples,Pulses and grains,53,53,1,80.0,2,1.2900000000000011,1,0.37999999999999984,1,4,4,4,2,4,12,7,17,2,72.79999999999988,103.20000000000007,30.399999999999988
113,Bran crackers mal,Snacks,Biscuits,54,54,1,93.0,2,1.799999999999998,1,0.8699999999999993,1,6,6,6,1,3,7,7,10,2,86.49000000000001,167.3999999999999,80.90999999999998
114,Brazils raw 375g,Snacks,Dry fruits and nuts,25,25,1,25.0,2,12.0,1,3.200000000000001,1,1,1,1,2,4,11,7,9,1,220.00000000000009,300.0,80.00000000000003
115,Bread crumbs 500g,Breads & bakery,Toast,43,43,1,47.0,2,2.489999999999999,1,1.0900000000000012,1,2,2,2,2,4,12,7,15,2,65.79999999999997,117.02999999999994,51.230000000000054
116,Breadfruit in brine serendib,Pantry staples,Condiments,5,5,1,5.0,2,3.9900000000000007,1,1.14,1,1,1,1,2,4,5,3,3,1,14.25,19.950000000000003,5.699999999999999
117,Brinjal moju serendib 250g,Pantry staples,Pickle,27,27,1,33.0,2,3.989999999999999,1,1.0399999999999994,1,2,2,2,2,4,10,7,11,2,97.35000000000007,131.66999999999993,34.31999999999998
118,Brinjal pickle 400g,Pantry staples,Pickle,4,4,1,4.0,2,5.2,1,1.25,1,1,1,1,1,2,3,2,3,1,15.8,20.8,5.0
119,Brinjol moju deran,Pantry staples,Pickle,8,8,1,8.0,2,5.990000000000001,1,1.99,1,1,1,1,1,3,6,6,7,1,32.0,47.92000000000001,15.92
120,Briyani masala 200g,Pantry staples,Spices,10,10,1,10.0,2,3.0,1,0.75,1,1,1,1,2,3,7,5,8,1,22.5,30.0,7.5
121,Broad beans 500g,Pantry staples,Pulses and grains,45,45,1,46.0,2,2.489999999999999,1,0.6900000000000004,1,2,2,2,2,4,12,7,19,2,82.79999999999994,114.53999999999995,31.740000000000016
122,Broccoli,Fresh produce,Other vegies,5240,5240,1,2544.839999999994,3,3.5,1,3.5,1,1,623,623,2,4,12,7,24,2,0.0,8906.939999999986,8906.939999999986
123,Broccoli chinese,Fresh produce,Asian vegies,187,187,1,206.0,2,1.8000000000000063,1,1.8000000000000063,1,1,4,4,2,4,12,7,21,2,0.0,370.80000000000115,370.80000000000115
124,Broccoli chinese 2 for 3.40,Fresh produce,Deals,640,640,1,735.0,2,3.4000000000000434,1,2.4100000000000246,1,5,5,5,2,4,12,7,24,2,727.6500000000052,2499.0000000000277,1771.3500000000165
125,Broccolini,Fresh produce,Bunch vegies,449,449,1,591.0,2,1.5,1,1.5,1,1,5,5,2,4,11,7,23,2,0.0,886.5,886.5
126,Brown onion 1kg,Pantry staples,Condiments,123,123,1,132.0,2,1.2000000000000002,1,-0.30000000000000004,1,2,2,2,2,2,3,7,20,2,198.0,158.40000000000012,-39.60000000000003
127,Brown rice1kg,Pantry staples,Rice,7,7,1,9.0,2,3.6272727270000003,1,3.6272727270000003,1,1,2,2,1,3,6,5,6,2,0.0,32.645454543,32.645454543
128,Bruschetta ai peperoni,Pantry staples,Condiments,1,1,1,1.0,1,4.99,1,0.99,1,1,1,1,1,1,1,1,1,1,4.0,4.99,0.99
129,Bruschetta al pomodoro,Pantry staples,Condiments,4,4,1,4.0,1,4.99,1,0.99,1,1,1,1,1,3,3,4,3,1,16.0,19.96,3.96
130,Bruschetta all aglio,Pantry staples,Condiments,2,2,1,2.0,1,4.99,1,0.99,1,1,1,1,2,2,2,2,2,1,8.0,9.98,1.98
131,Bruschetta alle verdure,Pantry staples,Pickle,3,3,1,3.0,1,4.99,1,0.9899999999999999,1,1,1,1,1,1,1,2,3,1,12.0,14.97,2.9699999999999998
132,Brushed potatoes 5kg bag,Fresh produce,Potatoes,637,637,1,669.0,2,4.989999999999927,1,0.49000000000000443,1,4,4,4,2,4,12,7,24,2,3010.5,3338.309999999953,327.81000000000284
133,Brussels sprouts,Fresh produce,Other vegies,1085,1085,1,387.844,2,4.989999999999867,1,4.989999999999867,1,1,342,342,2,4,10,7,22,2,0.0,1935.3415600000008,1935.3415600000008
134,Bucatini no.6,Pantry staples,Pasta,55,55,1,88.0,2,1.2000000000000015,1,1.2000000000000015,1,1,5,5,2,4,12,7,18,2,0.0,105.6000000000001,105.6000000000001
135,Bunch roses,Flowers,Flowers,284,284,1,324.0,2,9.0,1,1.0,1,4,4,4,2,4,12,7,21,2,2592.0,2916.0,324.0
136,Buriyani mix la,Pantry staples,Spices,8,8,1,9.0,2,4.990000000000001,1,1.6400000000000001,1,2,2,2,1,2,5,6,6,2,30.150000000000006,44.91000000000001,14.760000000000002
137,Butter beans,Fresh produce,Other vegies,79,79,1,27.442,2,6.990000000000006,1,6.990000000000006,1,1,67,67,2,3,5,7,12,1,0.0,191.81958000000006,191.81958000000006
138,Butter beans 400g,Pantry staples,Grains and pulses,69,69,1,93.0,2,1.290000000000002,1,0.3799999999999997,1,5,5,5,2,4,12,7,17,2,84.62999999999984,119.97000000000017,35.34
139,Cabbage  quater green,Fresh produce,Cut veggies,22,22,1,22.0,2,1.7,1,1.7,1,1,1,1,2,4,9,7,9,1,0.0,37.4,37.4
140,Cabbage drumhead,Fresh produce,Cabbages,2,2,1,2.0,1,3.5,1,1.5,1,1,1,1,1,2,2,2,2,1,4.0,7.0,3.0
141,Cabbage green,Fresh produce,Cabbages,573,573,1,668.0,2,4.989999999999943,1,4.989999999999943,1,1,7,7,2,4,12,7,24,2,0.0,3333.3199999999515,3333.3199999999515
142,Cabbage half,Fresh produce,Cut veggies,967,967,1,978.0,2,3.0,1,3.0,1,1,2,2,2,4,12,7,24,2,0.0,2934.0,2934.0
143,Cabbage quater,Fresh produce,Cut veggies,1369,1369,1,1374.0,2,1.7000000000000064,1,1.7000000000000064,1,1,2,2,2,4,12,7,24,2,0.0,2335.8000000000084,2335.8000000000084
144,Cabbage red,Fresh produce,Cabbages,109,109,1,111.0,2,4.5,1,4.5,1,1,2,2,2,4,12,7,18,2,0.0,499.5,499.5
145,Cabbage red half,Fresh produce,Cut veggies,422,422,1,422.0,2,2.700000000000021,1,2.700000000000021,1,1,1,1,2,4,12,7,24,1,0.0,1139.400000000009,1139.400000000009
146,Cabbage savoy,Fresh produce,Cabbages,271,271,1,277.0,2,4.990000000000007,1,4.990000000000007,1,1,3,3,2,4,12,7,21,2,0.0,1382.230000000002,1382.230000000002
147,Cabbage wombok,Fresh produce,Cabbages,830,830,1,937.6640000000001,2,1.5,1,-2.25,1,445,445,445,2,4,12,7,22,2,3516.240000000002,1406.4959999999992,-2109.7439999999997
148,Calypso mango,Fresh produce,Fruits,205,205,1,418.0,2,1.5,1,1.5,1,1,6,6,2,2,4,7,13,2,0.0,627.0,627.0
149,Candy gem plum,Fresh produce,Stonefruits,193,193,1,116.10599999999998,2,4.990000000000007,1,4.990000000000007,1,1,163,163,2,2,2,7,14,2,0.0,579.36894,579.36894
150,Candy melon,Fresh produce,Melons,51,51,1,58.0,2,4.0,1,4.0,1,1,3,3,1,1,2,7,10,2,0.0,232.0,232.0
